index,artist,country
0, Sammy Davis Jr.,US
1, Sonny Charles,US
2,100 Proof Aged in Soul,US
3,100 Strings and Jono (Choir of 40 Voices),US
4,1910 Fruitgum Co.,US
5,2 Of Clubs,US
6,5 Stairsteps and Cubie,US
7,? (Question Mark) & The Mysterians,US
8,A.B. Skhy,US
9,Aaron Neville,US
10,Abaco Dream,US
11,Ace Cannon,US
12,Adam Faith,GB
13,Adam Wade,US
14,Adrian Kimberly,US
15,Al (He's the King) Hirt,US
16,Al Brown's Tunetoppers Featuring Cookie Brown,US
17,Al Caiola And His Orchestra,US
18,Al Casey,US
19,Al Greene & The Soul Mate's,US
20,Al Hirt,US
21,Al Kent,US
22,Al Martino,US
23,Al Wilson,US
24,Alan Price Set,GB
25,Albert King,US
26,Alice Wonder Land,US
27,Allan Sherman,US
28,Alvin Cash,US
29,Alvin Robinson,US
30,Andre Williams,US
31,Andrea Carroll,US
32,Andy Kim,US
33,Andy Stewart,GB
34,Andy Williams,US
35,Anita & Th' So-And-So's,US
36,Anita Bryant,US
37,Anita Humes,US
38,Ann Cole,US
39,Ann-Margret,US
40,Anna King,US
41,Annette,US
42,Anthony & The Imperials,US
43,Anthony Newley,US
44,April Stevens & Nino Tempo,US
45,Archie Bell & The Drells,US
46,Aretha Franklin,US
47,Arlo Guthrie,US
48,Art Linkletter,US
49,Art Mooney,US
50,Arthur Alexander,US
51,Arthur Conley,US
52,Arthur Lyman Group,US
53,Arthur Prysock,US
54,Astrud Gilberto,BR
55,Audrey Arno,DE
56,Austin Taylor,US
57,Autry Inman,US
58,B. Bumble & The Stingers,US
59,B.B. King,US
60,B.J. Thomas,US
61,Baby Cortez,US
62,Baby Jane & The Rockabyes,US
63,Baby Ray,US
64,Baby Washington,US
65,Baja Marimba Band,US
66,Bar-Kays,US
67,Barbara & The Browns,US
70,Barbara George,US
71,Barbara Greene,US
72,Barbara Lewis,US
73,Barbara Lynn,US
74,Barbara Mason,US
75,Barbra Streisand,US
76,Barrett Strong,US
77,Barry & The Tamerlanes,US
78,Barry Mann,US
79,Barry McGuire,US
80,Barry Ryan,GB
81,Barry Young,US
82,Beau Brummels,US
83,Bee Gees,GB
84,Ben Colder,US
85,Ben E. King,US
86,Benny Spellman,US
87,Bent Fabric,DK
88,Bernadette Carroll,US
89,Bert Kaempfert,DE
90,Bertha Tillman,US
91,Betty Carter,US
92,Betty Everett,US
93,Betty Harris,US
94,Betty Wright,US
95,Bettye Swann,US
96,Big Al Downing,US
97,Big Brother And The Holding Company,US
98,Big Dee Irwin (with Little Eva),US
99,Big Maybelle,US
100,Big Sambo,US
101,Bill Anderson,US
102,Bill Black,US
103,Bill Cosby,US
104,Bill Deal & The Rhondels,US
105,Bill Doggett,US
106,Bill Haley And His Comets,US
107,Bill Medley,US
108,Bill Minkin,US
109,Bill Pinkney,US
110,Bill Pursell,US
111,Bill Wyman,US
112,Billie Jo Spears,US
113,Billy Abbott And The Jewels,US
114,Billy Bland,US
115,Billy Butler & The Chanters,US
116,Billy Edd Wheeler,US
117,Billy J. Kramer With The Dakotas,GB
118,Billy Joe & The Checkmates,US
119,Billy Joe Royal,US
122,Billy Stewart,US
123,Billy Strange,US
126,Billy Vera,US
127,Billy Vera & Judy Clay,US
128,Billy Walker,US
129,Bing Crosby,US
130,Birdlegs & Pauline And Their Versatility Birds,US
131,Blackwell,GB
132,Blinky & Edwin Starr,US
133,"Blood, Sweat & Tears",US
134,Blue Cheer,US
135,Blues Magoos,US
136,Bluesville,US
137,Bo Diddley,US
138,Bob And Earl,US
139,Bob B. Soxx And The Blue Jeans,US
140,Bob Beckham,US
141,Bob Braun,US
142,Bob Crewe,US
143,Bob Crewe Generation,US
144,Bob Dylan,US
145,Bob Kuban And The In-Men,US
146,Bob Lind,US
147,Bob Luman,US
148,Bob Moore,US
149,Bob Seger System,US
150,Bobbi Martin,US
153,"Bobby ""Boris"" Pickett And The Crypt-Kickers",US
154,Bobby Bare,US
155,Bobby Bland,US
156,Bobby Byrd,US
157,Bobby Callender,US
158,Bobby Cole,US
159,Bobby Comstock,US
160,Bobby Curtola,CA
161,Bobby Darin,US
162,Bobby Edwards,US
163,Bobby Freeman,US
164,Bobby Fuller Four,US
165,Bobby Goldsboro,US
166,Bobby Gregg,US
167,Bobby Hart,US
168,Bobby Hatfield,US
169,Bobby Hebb,US
170,Bobby Helms,US
171,Bobby Hendricks,US
172,Bobby Lewis,US
173,Bobby Marchan,US
174,Bobby McClure,US
175,Bobby Moore,US
176,Bobby Parker,US
177,Bobby Peterson,US
178,Bobby Pickett,US
179,Bobby Powell,US
180,Bobby Russell,US
181,Bobby Rydell,US
182,Bobby Shafto,US
183,Bobby Sherman,US
184,Bobby Taylor & The Vancouvers,CA
185,Bobby Vee,US
186,Bobby Vinton,US
187,Bobby Womack,US
188,Bobby Wood,US
189,Bonnie & The Treasures,US
190,Bonnie Guitar,US
191,Booker T. & The MG's,US
192,Boots Randolph,US
193,Boots Walker,US
194,Boston Pops Orchestra Arthur Fiedler,US
195,Brenda & The Tabulations,US
196,Brenda Holloway,US
197,Brenda Lee,US
198,Brenton Wood,US
199,Brian Hyland,US
200,Brian Poole And The Tremeloes,GB
201,Brian Wilson,US
204,Brooklyn Bridge,US
205,Brooks O'Dell,US
206,Brother Jack McDuff,US
207,Bruce & Terry,US
208,Bruce Channel,US
209,Buchanan Brothers,US
210,Buck Owens,US
211,Bud & Travis,US
212,Bud Shank,US
213,Buddy Greco,US
214,Buddy Johnson,US
215,Buddy Knox,US
216,Buddy Miles Express,US
217,Buddy Starcher,US
218,Buffalo Springfield,US
219,Bull & The Matadors,US
220,Bull Moose Jackson,US
221,Bunker Hill,US
222,Bunny Sigler,US
223,Burl Ives,US
224,Burt Bacharach,US
225,Buster Brown,US
226,Buzz Clifford,US
227,CROW,US
228,Cab Calloway,US
229,Cal Tjader,US
230,Calvin Arnold,US
231,Candi Staton,US
232,Candy & The Kisses,US
233,Canned Heat,US
234,Cannibal And The Headhunters,US
235,Cannonball Adderley,US
236,Carl Butler & Pearl,US
237,Carl Dobkins Jr.,US
238,Carla Thomas,US
239,Carol Lombard Trio,US
240,Carole King,US
241,Carroll Bros.,GB
242,Casinos,US
243,Cat Mother & the All Night News Boys,US
