index,artist
0,'N Sync
1,1 Of The Girls
2,"10,000 Maniacs"
3,112
4,12 Gauge
5,2 Hyped Brothers & A Dog
6,2 In A Room
7,2 Unlimited
8,20 Fingers
9,2Pac
10,2nd II None
11,2nu
12,38 Special
13,3T
14,3rd Bass
15,3rd Party
16,4 Non Blondes
17,4 The Cause
18,4.0
19,40 Thevz
20,49-ers
21,4PM
24,7 Mile
31,A Few Good Men
32,A Tribe Called Quest
33,A'me Lorain
34,A+
35,A.L.T. And The Lost Civilization
36,AB Logic
37,AC/DC
38,AZ
39,Aaliyah
44,Aaron Tippin
45,Abra Moore
46,Abstrac'
47,Ace Of Base
48,Adam Ant
49,Adam Clayton & Larry Mullen
50,Adam Sandler
53,Aerosmith
54,After 7
55,Aftershock
56,Ahmad
57,Aimee Mann
60,Alabama
63,Alana Davis
64,Alanis Morissette
65,Alannah Myles
66,Alexander O'Neal
67,Alfonzo Hunter
68,Alias
69,Alice Cooper
70,Alisha
71,Alison Krauss + Union Station
72,All City
73,All Saints
74,All-4-One
75,Allure
76,Alpha Team
77,Amanda Marshall
78,Amber
79,Amil (Of Major Coinz)
80,Amy Grant
81,Ana
82,Andrea Martin
83,Andrew Ridgeley
84,Andru Donalds
85,Andy Griggs
86,Angela Winbush
87,Angelica
88,Angelina
89,Angie Mar
90,Angie Stone
91,Anita Baker
92,Anita Cochran
93,Annie Lennox
94,Anonymous
95,Another Bad Creation
96,Anything Box
99,Aqua
100,Aretha Franklin
101,Around The Way
102,Arrested Development
103,Art N' Soul
104,Arthur Baker
105,Artie The 1 Man Party
106,Asia
107,Athena Cage
108,Athenaeum
109,Atlantic Starr
112,B Angie B
113,B Real
114,B*Witched
115,B-Rock & The Bizz
116,B. Fresh
117,B.G.
118,B.G. The Prince Of Rap
119,B.M.U. (Black Men United)
120,BBD
123,BRAVO All Stars
124,Baby
125,Baby Talk
130,Backstreet Boys
131,Bad Boys Blue
132,Bad Company
133,Bad English
134,Baltimora
135,Bang
136,Barbra Streisand
137,Barenaked Ladies
138,Barry White
139,Bart & Homer
140,Basia
141,Baz Luhrmann
142,BeBe
143,BeBe Winans
144,Beastie Boys
145,Beats International
146,Beck
147,Bee Gees
148,Beenie Man
149,Belinda Carlisle
150,Bell Biv DeVoe
151,Belly
152,Beth Hart
153,Bette Midler
154,Better Than Ezra
155,Betty Boo
156,Betty Wright
157,Big Audio
158,Big Boi
159,Big Bub
160,Big Daddy Kane
161,Big Jaz
162,Big Mountain
165,Big Sister
166,Bill Engvall
167,Billie Myers
168,Billie Ray Martin
169,Billy Falcon
170,Billy Idol
171,Billy Joel
174,Billy Ray Cyrus
175,Bingo Boys
176,Biscuit
177,Biz Markie
178,Bizarre Inc
179,Bjork
180,Black Box
181,Black Moon
182,Black Rob
183,Black Sheep
184,BlackHawk
185,Blackgirl
186,Blahzay Blahzay
187,Blair
188,Blaque
189,Blessid Union Of Souls
190,Blind Melon
191,Blink-182
192,Blinky Blink
193,Blondie
194,Blue Train
195,Blues Traveler
196,Blur
197,Bo-Rock
198,BoDeans
199,Bob Seger & The Silver Bullet Band
202,Bobby Ross Avila
203,Bon Jovi
207,Bonham
208,Bonnie Raitt
209,Bono
210,Born Jamericans
211,Boss
212,Boston
213,Bounty Killa
214,Boy George
215,Boy Krazy
218,Brad Paisley
219,Brady Seals
220,Brand Nubian
221,Brandon
222,Brandy
223,Breathe
224,Brenda Dee
225,Brenda K. Starr
226,Brent Bourgeois
231,Britney Spears
232,Brooklyn Bounce
233,Brooks & Dunn
234,Brother Beyond
235,Brotherhood Creed
236,Brownstone
237,Bruce Hornsby
238,Bruce Springsteen
242,Buffy
243,Bush
244,Busta Rhymes
245,C+C Music Factory
246,CRU
247,Cake
248,Calloway
249,Cam'Ron 
250,Camp Lo
251,Candlebox
252,Candy Dulfer
253,Candyman
256,Capleton
257,Cappadonna
258,Captain Hollywood Project
259,Caron Wheeler
260,Cartouche
261,Case
264,Cause And Effect
265,CeCe Peniston
270,Chad Brock
271,Chaka Demus & Pliers
275,Changing Faces
276,Channel Live
277,Chantay Savage
278,Chante Moore
279,Charles & Eddie
280,Charlie Wilson
281,Charm
282,Charm Farm
283,Cheap Trick
284,Chef Raekwon
285,Chely Wright
286,Cher
287,Chesney Hawkes
288,Chevelle Franklyn
289,Chicago
290,Chico DeBarge
291,Chill
292,Chris Cuevas
293,Chris Isaak
294,Chris Walker
295,Christina Aguilera
296,Christion
297,Christopher Max
298,Christopher Williams
299,Chubb Rock
300,Chuckii Booker
301,Chucklebutt
302,Chumbawamba
303,Chunky A
304,Cinderella
305,Citizen King
306,Classic Example
307,Clay Walker
308,Cleopatra
309,Clint Black
312,Clivilles & Cole
313,Club 69
314,Clubland
315,Coko
318,Collective Soul
319,Collin Raye
320,Color Me Badd
321,Colourhaus
322,Concrete Blonde
323,Cool Breeze
324,Coolio
325,Corey Hart
326,Corina
327,Coro
328,Corona
329,Counting Crows
330,Cracker
333,Crash Test Dummies
334,Creed
335,Crooklyn Dodgers '95
336,Crowded House
337,Crucial Conflict
338,Crush
339,Crystal Bernard
340,Crystal Lewis
341,Crystal Waters
342,Cuban Link
343,Cult Jam
344,Culture Beat
345,Curtis Stigers
346,Cut 'N' Move
347,Cyndi Lauper
348,Cynthia
349,Cypress Hill
352,D'zyre
353,D-Mob
354,D.F.C.
355,D.I.G.
356,D.J. Jazzy Jeff & The Fresh Prince
357,DJ Company
358,DJ Fred
359,DJ Kool
360,DJ Miko
361,DJ Quik
362,DJ Taz
365,DNA
366,DRS
371,Da Youngsta's
372,Daft Punk
373,Daisy Dee
374,Dakota Moon
375,Damage
376,Damian Dame
377,Damn Yankees
378,Dan Baird
379,Dana
380,Danger Danger
381,Danzig
382,Darden Smith
383,Darlene Love
384,Daryl Braithwaite
385,Daryl Hall
386,Daryl Hall & John Oates
387,Daryle Singletary
390,Dave Hollister
391,Dave Matthews
392,David A. Stewart
393,David Ball
394,David Bowie
395,David Cassidy
396,David Crosby
397,David Glasper
398,David Hallyday
399,David Kersh
400,David Sanborn
401,Davina
402,Dawn Penn
403,Daze
404,De La Soul
405,Deadeye Dick
406,Deana Carter
407,Debbie Gibson
408,Debelah Morgan
409,Deborah Cox
410,Deee-Lite
411,Deep Blue Something
412,Deep Forest
413,Def Leppard
414,Degrees Of Motion
415,Deja Vu
416,Del Amitri
417,Delinquent Habits
418,Denine With Collage's Adam Marano
419,Denise Lopez
420,Depeche Mode
421,Deryl Dodd
422,Des'ree
423,Desmond Child
424,Destiny's Child
425,Devone
426,Diamond Rio
427,Diana King
428,Digable Planets
429,Digital Underground
430,Dina Carroll
431,Dino
432,Dionne Farris
433,Dionne Warwick And The Hip-Hop Nation United
434,Dis `N' Dat
435,Dishwalla
436,Divine
437,Diving For Pearls
438,Divinyls
439,Dixie Chicks
440,Do Or Die
441,Doc Box
442,Doc Holiday
443,Doctor Dre
444,Dolly Parton
445,Domino
446,Don Henley
447,Donell Jones
450,Donna Summer
451,Donnie Wahlberg
452,Donny Osmond
453,Doug Stone
454,Dr. Alban
457,Dramacydal
458,Dru Down
462,Duice
463,Duncan Sheik
464,Duran Duran
465,Dwight Yoakam
466,E-40
467,EMF
468,EOL
469,EPMD
470,EVE
471,EVE & Nokio
472,Eagle-Eye Cherry
473,Eagles
474,"Earth, Wind & Fire"
475,East Coast Family
478,Ed From Good Burger
479,Ed Lover
480,Eddie Levert Sr.
481,Eddie Money
482,Edie Brickell
483,Edwin McCain
484,Edwyn Collins
485,Eiffel 65
486,Eightball
487,Elastica
488,Electric Boys
489,Electronic
490,Elisa Fiorillo
491,Elmo & Patsy
494,Elusion
495,Elvis Crespo
496,Emilia
497,Eminem
500,Enigma
501,Enrique Iglesias
502,Entouch
503,Enuff Z'Nuff
504,Enya
505,Ephraim Lewis
506,Erasure
507,Eric B. & Rakim
508,Eric Benet
509,Eric Clapton
512,Erick Sermon
513,Erin Cruise
514,Erykah Badu
515,Eternal
516,Eve
517,Eve 6
518,Everclear
519,Everlast
520,Everything
521,Everything But The Girl
522,Ex-Girlfriend
523,Expose
524,Extreme
525,F. Williams
526,FMOB
527,FRENTE!
528,Fabu
536,Faith No More
537,Faithless
538,Fastball
539,Faster Pussycat
540,Fat Joe
541,Fatboy Slim
544,Favorite Angel
545,Felly
548,Filter
549,Fine Young Cannibals
550,Fiona
551,Fiona Apple
552,Firehouse
553,Five
554,Flaj
555,Fleetwood Mac
556,Folk Implosion
557,Foo Fighters
558,For Real
559,Foreigner
560,Forest For The Trees
565,Freak Nasty
566,Fred Schneider
567,Freedom Williams
568,Freedy Johnston
569,Frost
570,Fruit De La Passion
571,Fu-Schnickens
572,Fuel
573,Fugees
574,Fun Factory
575,Funkdoobiest
576,Funkmaster Flex
577,Funky Green Dogs
578,G-Wiz
579,Gabrielle
580,Gang Starr
581,Garbage
582,Garth Brooks
583,Gary Barlow
584,Gary Moore
585,Gene Loves Jezebel
586,General Public
587,Genesis
588,Genius/GZA
589,Geoffrey Williams
590,George Clinton
591,George LaMond
592,George Michael
593,George Strait
596,Gerardo
597,Geto Boys
598,Ghost Town DJ's
599,Giant
600,Giggles
603,Gin Blossoms
604,Gina G
605,Gina Thompson
606,Ginuwine
607,Gladys Knight
608,Glenn Frey
609,Glenn Medeiros
612,Go West
613,Goddess
614,Goo Goo Dolls
615,Good 2 Go
616,Goodfellaz
619,Gorky Park
620,Grand Puba
621,Grandmaster Slice
622,Gravediggaz
623,Gravity Kills
624,Grayson Hugh
625,Great White
626,Green Jelly
627,Groove Theory
628,Group Home
629,Guns N' Roses
630,Guy
631,Guys Next Door
632,Gyrl
633,H-Town
634,Haddaway
635,Hannah Jones
636,Hanson
637,Happy Mondays
638,Harriet
639,"Harry Connick, Jr."
640,Heart
641,Heather B.
642,Heavy D
643,Heavy D & The Boyz
644,Heltah Skeltah
645,Henry Lee Summer
646,Hev-D
647,Hi Tek 3
648,Hi-C
649,Hi-Five
650,Hi-Town DJs
651,Hole
652,Home Team
653,Hooters
654,Hootie & The Blowfish
655,Horace Brown
656,House Of Lords
657,House Of Pain
660,Howard Jones
661,Huey Lewis & The News
662,I To I
663,II D Extreme
664,IMx
665,INOJ/LATHUN
666,INXS
667,IV Xample
668,Ice Cube
669,Ice-T
670,Icy Blu
671,Ideal
672,Iggy Pop
673,Ill Al Skratch
674,Illegal
675,Imajin
676,Imani Coppola
679,Indecent Obsession
680,Indigo Girls
681,Information Society
682,Ini Kamoze
683,Inner Circle
684,Inner City
685,Innerlude
686,Inoj
687,Insane Clown Posse
688,Inspektah Deck
689,Intonation Featuring Joee
690,Intro
691,Ivory
692,J'Son
693,J-Shin
694,JAY-Z
699,Ja
700,Ja Rule
701,Jade
702,Jagged Edge
703,James
704,James Ingram
705,Jamie Foxx
706,Jamie Walters
707,Jamiroquai
708,Jane Child
709,Janet
712,Jann Arden
713,Jars Of Clay
714,Jasmine Guy
719,Jaya
720,Jazzy Jeff & The Fresh Prince
721,Jeff Carson
722,Jeff Foxworthy
723,Jeffrey Daniels
724,Jellybean
725,Jellyfish
726,Jennifer Lopez
727,Jennifer Love Hewitt
728,Jennifer Paige
729,Jeremy Jordan
730,Jermaine Jackson
731,Jeru The Damaja
732,Jesse Jaymes
733,Jesse Powell
734,Jesse Wes
735,Jessica Simpson
736,Jesus Jones
737,Jewel
738,Jewell
