index,artist,country
0.0, Sammy Davis Jr.,US
1.0, Sonny Charles,US
0.0,'N Sync,US
0.0,'Til Tuesday,US
1.0,(+44),US
0.0,(The Preacher) Bobby Womack,US
2.0,070 Shake,US
1.0,1 Of The Girls,XX
2.0,10 Years,US
2.0,"10,000 Maniacs",XX
2.0,100 Proof Aged in Soul,US
3.0,100 Strings and Jono (Choir of 40 Voices),US
2.0,10cc,GB
3.0,112,US
4.0,12 Gauge,XX
4.0,1910 Fruitgum Co.,US
2.0,1927,AU
3.0,2 Chainz,US
5.0,2 Hyped Brothers & A Dog,XX
6.0,2 In A Room,US
5.0,2 Of Clubs,US
4.0,2 Pistols,US
7.0,2 Unlimited,XX
8.0,20 Fingers,XX
7.0,24kGoldn,US
13.0,2Cellos,HR
5.0,2Gether,US
9.0,2Pac,US
10.0,2nd II None,US
11.0,2nu,US
8.0,3 Doors Down,US
3.0,3 Man Island,GB
9.0,30 Seconds To Mars,US
10.0,311,US
8.0,347aidan,US
4.0,38 Special,XX
13.0,3OH!3,US
13.0,3T,US
14.0,3rd Bass,XX
15.0,3rd Party,XX
18.0,4,GB
5.0,4 By Four,XX
16.0,4 Non Blondes,US
17.0,4 The Cause,US
9.0,4*TOWN (From Disney And Pixar's Turning Red),US
19.0,40 Thevz,XX
20.0,49-ers,IT
21.0,4PM,XX
0.0,5 Satins,US
18.0,5 Seconds Of Summer,AU
6.0,5 Stairsteps and Cubie,US
19.0,50 Cent,US
3.0,5000 Volts,XX
16.0,504 Boyz,US
23.0,6LACK,US
23.0,6ix9ine,US
17.0,7 Aurelius,US
24.0,7 Mile,XX
18.0,702,US
6.0,707,US
7.0,9.9,CA
25.0,99 Percent,US
26.0,9lokknine,US
7.0,? (Question Mark) & The Mysterians,US
32.0,A Day To Remember,US
31.0,A Few Good Men,US
8.0,A Flock Of Seagulls,GB
33.0,A Great Big World,US
21.0,A Perfect Circle,US
35.0,A Rocket To The Moon,US
9.0,A Taste Of Honey,US
36.0,A Thousand Horses,US
37.0,A Tribe Called Quest,US
42.0,A$AP Rocky ,US
33.0,A'me Lorain,DE
24.0,A*Teens,SE
34.0,A+,XX
43.0,A-Trak ,IL
25.0,A.B. Quintanilla,US
8.0,A.B. Skhy,US
35.0,A.L.T. And The Lost Civilization,US
32.0,A7S,SE
36.0,AB Logic,BE
5.0,ABBA,SE
11.0,ABC,GB
6.0,AC/DC,AU
26.0,AFI,US
44.0,AJR,US
27.0,ATC,DE
34.0,ATR Son Son,US
35.0,AURORA,NO
7.0,AWB,FR
46.0,AWOLNATION,US
38.0,AZ,US
47.0,Aaliyah,US
29.0,Aaron Carter,US
36.0,Aaron Lewis,US
31.0,Aaron Lines,CA
13.0,Aaron Neville,US
44.0,Aaron Tippin,US
10.0,Abaco Dream,US
45.0,Abra Moore,US
14.0,Abstrac',XX
8.0,Ace,JP
11.0,Ace Cannon,US
9.0,Ace Frehley,US
49.0,Ace Hood,US
47.0,Ace Of Base,SE
10.0,Ace Spectrum,US
37.0,Acraze,US
50.0,Action Bronson,US
15.0,Adam Ant,GB
49.0,Adam Clayton & Larry Mullen,XX
12.0,Adam Faith,GB
35.0,Adam Gontier,CA
51.0,Adam Hicks,US
36.0,Adam Lambert,US
37.0,Adam Levine,US
50.0,Adam Sandler,US
13.0,Adam Wade,US
60.0,Adam Wakefield,US
11.0,Addrisi Brothers,US
40.0,Adele,GB
39.0,Adina Howard,US
16.0,Adrian Baker,GB
17.0,Adrian Belew,XX
14.0,Adrian Kimberly,US
53.0,Aerosmith,US
19.0,Afrika Bambaataa & The Soul Sonic Force,US
13.0,Afrique,XX
41.0,Afroman,US
20.0,After 7,XX
21.0,After The Fire,GB
55.0,Aftershock,GB
65.0,Agatha Lee Monn,US
22.0,Agnetha Faltskog,SE
41.0,Agust D,KR
56.0,Ahmad,US
57.0,Aimee Mann,US
23.0,Air Supply,AU
14.0,Airwaves,MX
15.0,Al (He's the King) Hirt,US
24.0,Al B. Sure!,US
16.0,Al Brown's Tunetoppers Featuring Cookie Brown,US
17.0,Al Caiola And His Orchestra,US
18.0,Al Casey,US
25.0,Al Corley,US
15.0,Al DeLory,US
16.0,Al Downing,US
26.0,Al Green,US
19.0,Al Greene & The Soul Mate's,US
20.0,Al Hirt,US
27.0,Al Jarreau,US
21.0,Al Kent,US
18.0,Al Martino,US
19.0,Al Stewart,GB
20.0,Al Wilson,US
29.0,Alabama,XX
69.0,Alabama Shakes,US
70.0,Alan Jackson,US
21.0,Alan O'Day,US
22.0,Alan Parsons,XX
24.0,Alan Price Set,GB
71.0,Alan Walker,NO
63.0,Alana Davis,US
64.0,Alanis Morissette,CA
65.0,Alannah Myles,CA
23.0,Albert Hammond,GB
25.0,Albert King,US
30.0,Aldo Nova,CA
72.0,Alec Benjamin,US
31.0,Alessi,US
75.0,Alessia De Gasperis,US
42.0,Alesso,SE
49.0,Alex Band,US
32.0,Alex Brown,US
78.0,Alex Clare,GB
66.0,Alexander O'Neal,XX
79.0,Alexandra Stan,RO
80.0,Alexis Jordan,US
67.0,Alfonzo Hunter,US
50.0,Ali,JP
43.0,Ali Gatie,CA
35.0,Ali Thomson,GB
68.0,Alias,US
25.0,Alice Bowie,US
